epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2715.67,0.57631,0.53725,1.02508,0.64043,0.53569,0.55864,0.41706,1.20585,1.71323,1.61469,0.000319079,0.000319079,0.000319079
74,2752.66,0.59157,0.55456,1.03712,0.62318,0.5068,0.53863,0.39451,1.20069,1.72988,1.60533,0.00030808,0.00030808,0.00030808
75,2789.63,0.58491,0.54518,1.03889,0.67517,0.52936,0.57776,0.41696,1.2291,1.74177,1.67615,0.000297081,0.000297081,0.000297081
76,2826.6,0.57347,0.5194,1.0273,0.56383,0.57069,0.56366,0.4131,1.21403,1.63538,1.63976,0.000286083,0.000286083,0.000286083
77,2863.74,0.56458,0.51666,1.02008,0.61167,0.55949,0.56921,0.41078,1.22988,1.62096,1.65596,0.000275084,0.000275084,0.000275084
78,2900.8,0.57226,0.52148,1.03025,0.60959,0.55191,0.57362,0.41852,1.21068,1.65406,1.61891,0.000264085,0.000264085,0.000264085
79,2937.63,0.56451,0.5202,1.02586,0.57044,0.5928,0.57339,0.4091,1.21442,1.70946,1.64195,0.000253086,0.000253086,0.000253086
80,2974.58,0.55412,0.50946,1.02438,0.61451,0.57736,0.58647,0.42849,1.17938,1.55989,1.60769,0.000242087,0.000242087,0.000242087
81,3011.41,0.56004,0.52469,1.02385,0.68482,0.52025,0.55717,0.41369,1.20796,1.69518,1.66351,0.000231088,0.000231088,0.000231088
82,3048.29,0.55312,0.5143,1.02013,0.67602,0.55213,0.57203,0.42906,1.18659,1.64611,1.63233,0.000220089,0.000220089,0.000220089
83,3085.26,0.55296,0.48757,1.0191,0.69217,0.52603,0.58494,0.43591,1.16544,1.64094,1.60187,0.00020909,0.00020909,0.00020909
84,3122.48,0.52436,0.49389,1.00504,0.70606,0.54732,0.59725,0.44271,1.18342,1.59058,1.63784,0.000198091,0.000198091,0.000198091
85,3160.05,0.55566,0.50573,1.01507,0.67341,0.56786,0.57251,0.42319,1.19133,1.73789,1.65149,0.000187092,0.000187092,0.000187092
86,3196.78,0.52414,0.48427,1.00094,0.69052,0.56433,0.57933,0.42832,1.17716,1.63698,1.62033,0.000176094,0.000176094,0.000176094
